UserName,larshaah
kayan,8.717797887081348
thomaaho,9.16515138991168
janeis,9.38083151964686
steinvas,9.899494936611665
finnks,10.04987562112089
zabin,10.954451150103322
georgsv,11.135528725660043
anitamv,11.180339887498949
espenlil,11.224972160321824
eddiebo,11.789826122551595
martpett,11.832159566199232
olemahan,11.874342087037917
runesalt,11.916375287812984
oleksa,12.0
turidsch,12.083045973594572
vseder,12.288205727444508
mkguld,12.449899597988733
torem,12.529964086141668
marenkam,12.529964086141668
leiflto,12.569805089976535
roychrin,12.649110640673518
natthas,12.649110640673518
krishoy,12.68857754044952
joakiknu,12.806248474865697
timz,12.84523257866513
ragnarpe,12.884098726725126
annedah,12.96148139681572
timonn,13.0
keb,13.0
kjetsand,13.076696830622021
evend,13.114877048604
oleaham,13.152946437965905
marrei,13.341664064126334
jorgbra,13.416407864998739
nilstesd,13.490737563232042
pval,13.527749258468683
tovestod,13.674794331177344
xsu,14.2828568570857
gunwaldo,14.45683229480096
patrickg,14.594519519326424
kgrolse,14.594519519326424
toralfsk,14.628738838327793
glenngr,14.628738838327793
remia,14.696938456699069
martiro,14.966629547095765
magnumje,15.0
ingvilst,15.198684153570664
edw,15.684387141358123
bgulbra,15.874507866387544
